scheme,age,snr_mean,snr_stderr
exp/tau=3000,5,5.529578e0,1.363921e-1
exp/tau=3000,6,5.545115e0,1.268312e-1
exp/tau=3000,7,5.466712e0,1.460850e-1
exp/tau=3000,9,5.350481e0,1.355451e-1
exp/tau=3000,11,5.105478e0,1.105855e-1
exp/tau=3000,14,5.008797e0,1.190548e-1
exp/tau=3000,17,4.920626e0,1.420212e-1
exp/tau=3000,22,4.817820e0,1.757603e-1
exp/tau=3000,27,4.405196e0,1.931379e-1
exp/tau=3000,33,3.915185e0,1.975224e-1
exp/tau=3000,42,3.644796e0,2.365901e-1
exp/tau=3000,52,2.948555e0,1.789518e-1
exp/tau=3000,65,2.540655e0,2.375098e-1
exp/tau=3000,80,2.138715e0,3.480307e-1
exp/tau=3000,100,1.516324e0,4.031426e-1
exp/tau=3000,125,1.462414e0,4.717724e-1
exp/tau=3000,155,9.587680e-1,4.198210e-1
exp/tau=3000,193,2.928381e-1,3.850885e-1
exp/tau=3000,241,3.277697e-1,3.996352e-1
exp/tau=3000,300,5.901955e-1,4.062899e-1
exp/tau=3000,373,2.584486e-1,3.032803e-1
exp/tau=3000,465,-1.207485e-1,3.341433e-1
exp/tau=3000,579,2.322474e-1,3.741629e-1
exp/tau=3000,721,-8.687417e-3,2.418459e-1
exp/tau=3000,897,3.242375e-1,2.663511e-1
exp/tau=3000,1118,3.495512e-1,4.081433e-1
exp/tau=3000,1392,2.783290e-1,2.730709e-1
exp/tau=3000,1733,3.817064e-2,3.791833e-1
exp/tau=3000,2158,-3.072451e-1,2.949015e-1
exp/tau=3000,2687,-1.230176e-1,4.137747e-1
exp/tau=3000,3346,-3.651707e-1,3.330576e-1
exp/tau=3000,4167,3.517274e-1,3.300163e-1
exp/tau=3000,5189,1.502386e-1,1.730798e-1
exp/tau=3000,6461,5.004269e-1,3.789558e-1
exp/tau=3000,8046,2.297382e-1,4.232459e-1
exp/tau=3000,10019,2.881518e-2,3.441442e-1
exp/tau=3000,12476,-1.896496e-1,4.742874e-1
exp/tau=3000,15536,5.982760e-2,3.234632e-1
exp/tau=3000,19347,-3.548485e-1,4.995129e-1
exp/tau=3000,24091,5.954960e-1,3.044820e-1
exp/tau=3000,30000,3.696928e-1,3.194023e-1
exp/tau=10000,1,5.768621e0,1.457819e-1
exp/tau=10000,2,5.762201e0,1.438152e-1
exp/tau=10000,3,5.662547e0,1.355791e-1
exp/tau=10000,4,5.580602e0,1.299019e-1
exp/tau=10000,5,5.496994e0,1.363839e-1
exp/tau=10000,6,5.512626e0,1.265508e-1
exp/tau=10000,7,5.434963e0,1.445914e-1
exp/tau=10000,9,5.319297e0,1.339151e-1
exp/tau=10000,11,5.076475e0,1.095114e-1
exp/tau=10000,14,4.980755e0,1.176320e-1
exp/tau=10000,17,4.893408e0,1.403918e-1
exp/tau=10000,22,4.794261e0,1.741986e-1
exp/tau=10000,27,4.383253e0,1.916163e-1
exp/tau=10000,33,3.898411e0,1.961131e-1
exp/tau=10000,42,3.635348e0,2.345357e-1
exp/tau=10000,52,2.946199e0,1.802223e-1
exp/tau=10000,65,2.545442e0,2.376832e-1
exp/tau=10000,80,2.145827e0,3.472245e-1
exp/tau=10000,100,1.530731e0,4.009044e-1
exp/tau=10000,125,1.470126e0,4.706053e-1
exp/tau=10000,155,9.723090e-1,4.201348e-1
exp/tau=10000,193,3.048053e-1,3.881120e-1
