scheme,age,snr_mean,snr_stderr
exp/tau=30,8377,-3.289145e-2,6.448242e-2
exp/tau=30,8671,-3.065990e-2,6.295663e-2
exp/tau=30,8975,1.517222e-1,6.046882e-2
exp/tau=30,9290,-2.664057e-2,6.517226e-2
exp/tau=30,9616,-5.307832e-2,6.458053e-2
exp/tau=30,9953,-2.236807e-2,6.405650e-2
exp/tau=30,10302,6.836043e-4,6.646763e-2
exp/tau=30,10664,-6.918323e-3,6.908621e-2
exp/tau=30,11038,4.341689e-3,6.143138e-2
exp/tau=30,11425,-3.426122e-2,6.153187e-2
exp/tau=30,11826,9.985257e-2,5.981673e-2
exp/tau=30,12241,-1.141396e-1,6.451057e-2
exp/tau=30,12670,-5.579562e-2,6.385453e-2
exp/tau=30,13115,5.561315e-2,5.978218e-2
exp/tau=30,13575,-6.310252e-2,6.362200e-2
exp/tau=30,14051,-6.442873e-2,6.302883e-2
exp/tau=30,14544,6.327317e-2,5.847234e-2
exp/tau=30,15054,-1.273960e-1,6.605473e-2
exp/tau=30,15582,-7.110722e-2,6.027551e-2
exp/tau=30,16129,-1.120969e-1,6.128888e-2
exp/tau=30,16694,2.672841e-2,6.036653e-2
exp/tau=30,17280,5.909065e-2,5.961807e-2
exp/tau=30,17886,1.934892e-2,6.349840e-2
exp/tau=30,18514,-2.304465e-2,6.385657e-2
exp/tau=30,19163,-3.043988e-2,5.975498e-2
exp/tau=30,19835,6.131401e-2,6.176141e-2
exp/tau=30,20531,-2.502240e-2,5.767662e-2
exp/tau=30,21251,-6.770875e-2,6.320514e-2
exp/tau=30,21997,-1.476320e-2,6.731484e-2
exp/tau=30,22768,6.045810e-2,6.087969e-2
exp/tau=30,23567,-1.462065e-1,6.249385e-2
exp/tau=30,24394,-2.052139e-2,6.802988e-2
exp/tau=30,25250,6.080651e-2,6.387692e-2
exp/tau=30,26135,-1.170155e-2,6.560896e-2
exp/tau=30,27052,7.250937e-2,7.011171e-2
exp/tau=30,28001,7.747419e-2,5.960931e-2
exp/tau=30,28983,4.180400e-2,6.551575e-2
exp/tau=30,30000,-1.214356e-2,6.015678e-2
exp/tau=100,1,6.643259e0,3.281940e-2
exp/tau=100,2,6.574719e0,3.305080e-2
exp/tau=100,3,6.480413e0,3.389502e-2
exp/tau=100,4,6.357322e0,3.272952e-2
exp/tau=100,5,6.275582e0,3.432823e-2
exp/tau=100,6,6.175788e0,3.484860e-2
exp/tau=100,7,6.067735e0,3.415784e-2
exp/tau=100,8,5.999559e0,3.479019e-2
exp/tau=100,9,5.928607e0,3.496477e-2
exp/tau=100,10,5.834823e0,3.601933e-2
exp/tau=100,11,5.752896e0,3.716553e-2
exp/tau=100,12,5.667988e0,3.747715e-2
exp/tau=100,13,5.555497e0,3.938114e-2
exp/tau=100,14,5.473683e0,4.151098e-2
exp/tau=100,15,5.380754e0,4.219237e-2
exp/tau=100,16,5.306375e0,4.437391e-2
exp/tau=100,17,5.210966e0,4.605116e-2
exp/tau=100,18,5.138515e0,4.660738e-2
exp/tau=100,19,5.045975e0,4.718046e-2
exp/tau=100,20,4.984054e0,4.923991e-2
exp/tau=100,21,4.920223e0,4.891242e-2
exp/tau=100,22,4.837675e0,4.924042e-2
exp/tau=100,23,4.734425e0,4.993855e-2
exp/tau=100,24,4.646762e0,5.023101e-2
exp/tau=100,25,4.535084e0,5.119853e-2
exp/tau=100,26,4.469282e0,5.187170e-2
exp/tau=100,27,4.406587e0,5.247368e-2
exp/tau=100,28,4.341134e0,5.262604e-2
exp/tau=100,29,4.268317e0,5.312675e-2
exp/tau=100,30,4.218390e0,5.192926e-2
exp/tau=100,31,4.162639e0,5.136938e-2
exp/tau=100,33,4.032094e0,5.194566e-2
exp/tau=100,34,3.963512e0,5.204606e-2
exp/tau=100,35,3.892749e0,5.283146e-2
exp/tau=100,36,3.818394e0,5.343256e-2
exp/tau=100,37,3.732938e0,5.513471e-2
exp/tau=100,39,3.588207e0,5.587811e-2
exp/tau=100,40,3.493575e0,5.678782e-2
exp/tau=100,41,3.435284e0,5.652642e-2
exp/tau=100,43,3.287734e0,5.705765e-2
exp/tau=100,44,3.189532e0,5.751810e-2
exp/tau=100,46,3.055832e0,6.000529e-2
exp/tau=100,48,2.948421e0,5.948464e-2
exp/tau=100,49,2.891794e0,5.800870e-2
exp/tau=100,51,2.745346e0,5.667296e-2
exp/tau=100,53,2.632803e0,5.626341e-2
exp/tau=100,55,2.517469e0,5.567749e-2
exp/tau=100,56,2.452307e0,5.658708e-2
exp/tau=100,58,2.369367e0,5.537882e-2
exp/tau=100,61,2.248604e0,5.594204e-2
exp/tau=100,63,2.156775e0,5.652352e-2
exp/tau=100,65,2.077646e0,5.898283e-2
exp/tau=100,67,1.973141e0,5.841924e-2
exp/tau=100,69,1.865081e0,5.891751e-2
exp/tau=100,72,1.765483e0,6.050183e-2
exp/tau=100,74,1.689018e0,6.127271e-2
exp/tau=100,77,1.578100e0,6.381308e-2
exp/tau=100,80,1.502983e0,6.412599e-2
exp/tau=100,83,1.445450e0,6.433099e-2
exp/tau=100,85,1.422867e0,6.544273e-2
exp/tau=100,88,1.335122e0,6.490205e-2
exp/tau=100,92,1.170350e0,6.591068e-2
exp/tau=100,95,1.088497e0,6.417358e-2
exp/tau=100,98,1.002232e0,6.333594e-2
exp/tau=100,102,9.252574e-1,6.347785e-2
exp/tau=100,105,8.472558e-1,6.313428e-2
exp/tau=100,109,7.925264e-1,6.256578e-2
exp/tau=100,113,7.023677e-1,6.325951e-2
exp/tau=100,117,6.552075e-1,6.634229e-2
exp/tau=100,121,6.191081e-1,6.670356e-2
exp/tau=100,125,5.121836e-1,6.701577e-2
exp/tau=100,129,4.678354e-1,6.729771e-2
exp/tau=100,134,4.033219e-1,6.516308e-2
exp/tau=100,138,3.557114e-1,6.487484e-2
exp/tau=100,143,3.273723e-1,6.747201e-2
exp/tau=100,148,2.733036e-1,6.834481e-2
exp/tau=100,154,1.691651e-1,6.366931e-2
exp/tau=100,159,8.920227e-2,6.651241e-2
exp/tau=100,164,7.830569e-2,6.774399e-2
exp/tau=100,170,5.647810e-2,7.014176e-2
exp/tau=100,176,8.785057e-2,6.869505e-2
exp/tau=100,182,8.570526e-2,6.280952e-2
exp/tau=100,189,1.232550e-2,6.267494e-2
exp/tau=100,195,-6.792441e-2,6.207309e-2
exp/tau=100,202,1.081799e-2,6.206430e-2
exp/tau=100,209,1.928326e-2,5.762957e-2
exp/tau=100,217,-1.099781e-2,6.083187e-2
exp/tau=100,224,-5.653388e-2,5.787996e-2
exp/tau=100,232,-3.746968e-3,5.760757e-2
exp/tau=100,240,3.524123e-2,6.065668e-2
exp/tau=100,249,1.048914e-1,6.436984e-2
exp/tau=100,257,1.177242e-1,6.603703e-2
exp/tau=100,267,1.285438e-1,6.401991e-2
exp/tau=100,276,9.319199e-2,6.392219e-2
exp/tau=100,286,5.036236e-2,6.531452e-2
exp/tau=100,296,2.441203e-2,6.360461e-2
exp/tau=100,306,-3.776804e-2,6.255126e-2
exp/tau=100,317,-1.982547e-2,6.261436e-2
exp/tau=100,328,-5.938985e-2,6.465682e-2
exp/tau=100,339,-8.961245e-2,6.578305e-2
exp/tau=100,351,-7.487091e-2,6.466583e-2
exp/tau=100,363,-9.560735e-2,6.261057e-2
exp/tau=100,376,-4.651032e-2,6.292740e-2
exp/tau=100,389,-3.102549e-2,6.211616e-2
exp/tau=100,403,3.739158e-2,6.423746e-2
exp/tau=100,417,3.620624e-2,6.528915e-2
exp/tau=100,432,5.944249e-2,6.394434e-2
exp/tau=100,447,5.035084e-3,6.483718e-2
exp/tau=100,463,1.230482e-1,6.590336e-2
exp/tau=100,479,8.106468e-2,6.495339e-2
exp/tau=100,496,8.393391e-2,6.624400e-2
exp/tau=100,513,6.899709e-2,6.303811e-2
exp/tau=100,531,3.521272e-2,6.175188e-2
