scheme,age,snr_mean,snr_stderr
exp/tau=3000,27,4.080226e0,4.817961e-2
exp/tau=3000,33,3.827589e0,4.827738e-2
exp/tau=3000,42,3.378269e0,5.240698e-2
exp/tau=3000,52,2.926714e0,5.109101e-2
exp/tau=3000,65,2.484477e0,5.511262e-2
exp/tau=3000,80,2.047379e0,5.916037e-2
exp/tau=3000,100,1.577078e0,6.074840e-2
exp/tau=3000,125,1.064544e0,6.285959e-2
exp/tau=3000,155,5.933680e-1,6.297019e-2
exp/tau=3000,193,2.534800e-1,6.374921e-2
exp/tau=3000,241,1.830591e-1,5.931415e-2
exp/tau=3000,300,7.842529e-2,6.398336e-2
exp/tau=3000,373,-2.199216e-2,6.526922e-2
exp/tau=3000,465,1.158959e-1,6.687118e-2
exp/tau=3000,579,1.503117e-1,6.146862e-2
exp/tau=3000,721,-2.396949e-2,6.050549e-2
exp/tau=3000,897,8.219934e-2,6.623777e-2
exp/tau=3000,1118,2.563126e-3,6.018217e-2
exp/tau=3000,1392,-1.114712e-2,6.254432e-2
exp/tau=3000,1733,-6.978423e-3,6.486540e-2
exp/tau=3000,2158,3.164991e-2,6.334568e-2
exp/tau=3000,2687,9.088151e-2,6.288222e-2
exp/tau=3000,3346,-1.527086e-1,6.098115e-2
exp/tau=3000,4167,-1.011687e-1,6.034176e-2
exp/tau=3000,5189,6.121905e-2,5.815646e-2
exp/tau=3000,6461,-6.983523e-4,6.593755e-2
exp/tau=3000,8046,-4.667655e-2,6.429735e-2
exp/tau=3000,10019,5.497577e-2,5.936413e-2
exp/tau=3000,12476,3.310616e-3,6.496510e-2
exp/tau=3000,15536,1.944367e-2,6.248837e-2
exp/tau=3000,19347,-8.729156e-3,6.366565e-2
exp/tau=3000,24091,1.234032e-1,6.152156e-2
exp/tau=3000,30000,5.337754e-2,5.974079e-2
exp/tau=10000,1,5.652519e0,3.009916e-2
exp/tau=10000,2,5.604279e0,3.047978e-2
exp/tau=10000,3,5.535806e0,3.132702e-2
exp/tau=10000,4,5.442448e0,3.073518e-2
exp/tau=10000,5,5.382280e0,3.238396e-2
exp/tau=10000,6,5.308201e0,3.267438e-2
exp/tau=10000,7,5.224467e0,3.226407e-2
exp/tau=10000,9,5.123464e0,3.344651e-2
exp/tau=10000,11,5.000659e0,3.516188e-2
exp/tau=10000,14,4.798365e0,3.899209e-2
exp/tau=10000,17,4.610804e0,4.368870e-2
exp/tau=10000,22,4.358468e0,4.617636e-2
exp/tau=10000,27,4.059581e0,4.806172e-2
exp/tau=10000,33,3.810207e0,4.819709e-2
exp/tau=10000,42,3.366817e0,5.227041e-2
exp/tau=10000,52,2.921537e0,5.097168e-2
exp/tau=10000,65,2.485523e0,5.499882e-2
exp/tau=10000,80,2.053816e0,5.901728e-2
exp/tau=10000,100,1.587693e0,6.062732e-2
exp/tau=10000,125,1.077538e0,6.270891e-2
exp/tau=10000,155,6.072956e-1,6.289528e-2
exp/tau=10000,193,2.649297e-1,6.372579e-2
exp/tau=10000,241,1.896502e-1,5.931195e-2
exp/tau=10000,300,8.312647e-2,6.399277e-2
exp/tau=10000,373,-2.057120e-2,6.533716e-2
exp/tau=10000,465,1.152581e-1,6.687006e-2
exp/tau=10000,579,1.510592e-1,6.147095e-2
